Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
1,-7,-118,392,132,-4000,-901,4000,-1577
1,26,-162,1114,66,-4000,-891,4000,-1315
1,110,44,1114,-5,-4000,-615,4000,-1013
1,110,32,671,-97,-4000,-57,4000,-659
1,86,-56,445,-141,-3706,611,4000,-312
1,50,-32,638,-183,-3408,1279,4000,120
1,20,-58,248,-175,-3148,1734,4000,535
1,21,-36,157,-78,-1919,1864,4000,922
1,72,-29,183,-36,3167,1734,4000,1236
1,49,-25,980,32,4000,1449,4000,1468
1,34,11,1444,44,4000,1148,4000,1606
1,55,41,580,66,4000,871,4000,1663
1,74,40,-479,122,4000,464,3038,1654
1,129,40,-1344,166,4000,-32,1027,1698
1,117,21,-1557,144,4000,-396,-1356,1704
1,62,0,-1414,81,4000,-454,-4000,1592
1,37,-7,-1015,116,4000,-147,-4000,1468
1,32,12,-544,101,4000,220,-4000,1531
1,9,34,89,75,4000,85,-1690,1584
1,39,-1,622,17,4000,-428,2452,1476
1,32,-35,892,-75,4000,-1041,4000,1150
1,-9,-43,1114,-136,4000,-1717,4000,695
1,-19,-16,1114,-232,4000,-2367,4000,182
1,-40,4,1119,-246,4000,-2951,4000,-390
1,-8,18,1257,-145,4000,-3127,4000,-999
1,-25,38,1062,26,4000,-2819,4000,-1642
1,-79,-30,686,118,4000,-2060,4000,-2134
1,-177,-30,516,136,4000,-812,4000,-2375
1,-178,-15,30,134,4000,722,4000,-2375
1,-88,-23,-104,55,4000,2363,4000,-2324
1,-118,-37,63,20,4000,4000,4000,-2103
1,-121,-57,34,-18,4000,4000,4000,-1599
1,-126,-60,219,-171,4000,4000,4000,-1296
1,-162,-81,132,-255,4000,4000,4000,-946
1,-146,-65,6,-299,3998,4000,4000,-639
1,-94,14,16,-263,-587,4000,4000,-490
1,8,154,-76,-65,-4000,4000,4000,-248
1,82,150,-190,215,-4000,4000,4000,-104
1,82,81,-314,386,-4000,4000,4000,164
1,90,81,-221,394,-4000,4000,4000,377
1,84,49,-190,480,-4000,4000,4000,293
1,39,1,-212,561,-4000,4000,4000,194
1,69,-1,-129,639,-4000,4000,278,302
1,90,87,-3,600,-4000,4000,-1524,535
1,41,72,110,215,-4000,4000,-1767,540
1,-42,72,74,-79,-4000,4000,-1849,330
1,-16,73,63,-175,-4000,4000,-2422,195
1,95,38,55,-232,-4000,4000,-163,348
1,142,13,9,-279,-4000,4000,4000,751
1,155,-79,-91,-22,-4000,3131,4000,1185
1,70,-169,-83,447,-4000,2515,4000,1598
1,23,-181,-31,663,-4000,1126,4000,1895
1,-15,-138,1,626,-4000,-77,-2642,1857
1,-47,-84,52,390,-4000,-228,-4000,1727
1,11,-35,-153,-65,-4000,-1290,-4000,1561
1,-59,-272,-13,-725,-4000,-1782,-4000,564
1,-51,-234,16,-426,-4000,-2037,-4000,499
1,-92,-178,-63,-332,-4000,-1734,-4000,551
1,-71,-98,9,-18,-4000,-1487,-4000,457
1,-21,-103,16,-161,-4000,-1200,-4000,312
1,-44,-57,-61,-170,-4000,-1444,-4000,120
1,-9,101,-43,162,-3053,-2025,-4000,23
1,-38,172,-97,443,-2110,-2640,-4000,-96
1,-84,212,-91,687,-1390,-3910,-4000,-418
1,-17,164,-5,699,-1316,-4000,-4000,-899
1,-13,111,36,379,-2163,-3530,-4000,-1131
1,21,127,59,298,-2969,-2860,-4000,-1217
1,35,92,109,381,-2990,-2597,-4000,-1318
1,1,69,116,598,-3172,-2274,-2855,-1298
1,24,74,48,569,-4000,-1902,-1657,-1238
1,16,16,26,296,-4000,-1781,-1262,-1257
1,-5,-19,2,286,-4000,-2023,-75,-1428
1,-11,-51,-1,392,-4000,-2819,685,-1531
1,10,-53,36,327,-4000,-4000,1931,-1589
1,32,-69,-43,321,-4000,-4000,3205,-1498
1,21,9,-92,345,-4000,-4000,4000,-1518
1,11,99,-163,404,-3799,-4000,4000,-1596
1,-4,124,-243,437,-3517,-4000,4000,-1738
1,4,140,-255,372,-3387,-4000,4000,-1925
1,-11,68,-288,360,-3185,-4000,4000,-1917
1,14,79,-192,365,-2668,-4000,4000,-1957
1,15,87,-98,459,-2147,-4000,4000,-1664
1,3,68,-29,378,-1817,-4000,4000,-1274
1,90,36,-40,219,-1803,-4000,4000,-1000
1,249,7,-12,242,-1524,-3524,4000,-744
1,368,13,42,207,-1422,-3968,4000,-730
1,269,-3,28,163,-1267,-4000,4000,-614
1,166,-19,88,177,-85,-4000,4000,-521
1,168,-20,171,27,1733,-4000,4000,-394
1,234,40,238,-232,3477,-4000,4000,-253
1,123,30,135,-473,4000,-4000,4000,-179
1,-141,82,-87,-401,4000,-4000,4000,-129
1,-136,85,-151,27,4000,-4000,4000,-93
1,-157,26,-25,231,4000,-4000,4000,-52
1,-301,16,73,305,4000,-1780,4000,-108
1,-378,-7,106,207,4000,117,4000,-168
1,-386,-14,45,-198,4000,953,4000,-252
1,-417,-3,-19,-570,4000,1537,4000,-366
1,-435,11,-7,-695,4000,2255,4000,-547
1,-310,-36,-97,-776,2710,3101,4000,-791
1,-32,65,301,-261,4000,1710,82,-1542
1,14,55,463,387,4000,179,1223,-1583
1,23,-46,-86,384,4000,-4000,-4000,-2193
1,-49,-60,-129,-60,3016,-4000,-4000,-2746
1,-68,-59,-133,-397,2622,-4000,-4000,-3154
1,-318,-101,-166,-654,2569,-4000,-4000,-3504
1,-510,-36,-60,-589,-814,2056,-4000,-3799
1,-375,-4,-3,-289,-876,4000,-4000,1112
1,-207,-4,-5,-112,-2134,4000,-4000,4000
1,-78,-37,-20,15,-2641,4000,-4000,4000
1,-165,-44,-76,183,-2534,4000,-4000,4000
1,-193,-20,-98,158,-4000,4000,-4000,4000
1,-177,1,-114,46,-4000,2840,-4000,4000
1,-136,64,-182,-149,-4000,3101,-4000,4000
1,-62,91,-165,-228,-4000,4000,-4000,4000
1,-34,47,-102,-37,-4000,4000,-4000,4000
1,38,36,-54,93,-4000,2971,-3051,3912
1,147,64,-13,194,-4000,611,-66,994
1,188,81,4,156,-4000,611,1922,-883
1,139,84,-40,90,-4000,376,2517,-2003
1,151,42,-114,60,-4000,-106,2047,-2735
1,176,42,-151,126,-3730,-651,1098,-3386
1,204,57,-81,234,-2643,-1123,939,-3659
1,260,72,23,268,-1398,-715,1255,-3846
1,234,85,11,115,-1338,219,1931,-3858
1,182,78,8,-92,-1239,1051,3294,-3779
1,49,64,-63,-221,-9,1649,4000,-3333
1,-84,46,-133,-137,772,2060,4000,-2811
1,-58,73,-45,111,3982,2295,4000,-2230
1,-51,103,3,169,4000,2442,4000,-1599
1,-5,147,68,219,4000,2382,4000,-1168
1,-21,107,85,191,4000,2255,4000,-753
1,-63,24,142,20,4000,2356,3551,-480
1,-17,29,237,-79,4000,2580,4000,-378
1,-36,3,180,-93,4000,2356,4000,-494
1,-71,-23,85,-31,4000,2102,4000,-435
1,-136,-33,-1,65,4000,2319,4000,-418
1,-100,-26,62,98,4000,2243,4000,-899
1,-4,-35,85,22,4000,1862,4000,-1662
1,-42,-104,31,-8,4000,1755,4000,-2580
1,-84,-116,-29,-129,4000,1734,4000,-3349
1,-170,-118,-14,-315,4000,1929,4000,-3862
1,-170,-76,20,-271,4000,2255,3400,-4000
1,-123,-20,-1,-129,4000,2422,3086,-4000
1,-93,19,15,-28,4000,2905,3062,-4000
1,25,71,-99,-1,4000,3292,3075,-4000
1,2,46,-128,81,4000,3426,3038,-4000
1,6,17,-84,95,4000,3018,2843,-3931
1,53,-21,-77,107,4000,2060,2682,-3264
1,76,-10,-53,134,4000,1222,2358,-2746
1,88,-27,-46,111,4000,628,1711,-2474
1,64,-83,-6,112,1710,189,866,-2635
1,72,-122,-48,69,-1059,-564,48,-2932
1,61,-153,-75,62,-3600,-1290,-876,-3237
1,61,-111,-81,43,-4000,-1302,-1830,-3736
1,80,-127,-71,57,-4000,-1200,-1989,-4000
1,80,-92,11,44,-4000,-1847,-1462,-4000
1,51,-31,42,3,-4000,-2178,-786,-4000
1,36,-67,97,2,-4000,-2246,-723,-4000
1,4,-78,53,-39,-4000,-1847,-1524,-4000
1,-27,-87,17,-34,-4000,-831,-2441,-4000
1,-54,-101,-33,-41,-4000,13,-2966,-4000
1,-81,-88,-121,-59,-4000,254,-2408,-4000
1,-13,-80,-82,-57,-4000,348,-1185,-4000
1,109,-86,-98,-82,-2641,1180,-484,-4000
1,228,-135,-129,-38,-182,1899,-876,-4000
1,408,-165,-168,6,460,2227,-2043,-4000
1,519,-118,-204,-3,-288,2359,-2707,-4000
1,442,-93,-163,27,-2550,2556,-2512,-4000
1,395,-57,-107,66,-4000,2188,-1767,-3858
1,285,-8,-97,122,-4000,757,-1254,-3319
1,195,5,-30,205,-4000,-665,-1766,-2649
1,315,50,66,174,-4000,-1430,-2573,-1860
1,448,55,61,80,-4000,-1355,-3648,-1217
1,250,3,47,-15,-4000,-705,-4000,-556
1,-124,0,73,-144,-4000,201,-4000,140
1,-535,-12,161,-206,-4000,919,-3792,817
1,-1146,36,167,-232,-4000,1331,-2667,1513
1,-1479,46,93,-258,-4000,1531,-1332,2054
1,-1202,53,24,-218,-4000,1191,-811,3346
1,-844,98,13,-122,-4000,540,-1461,3979
1,-396,120,36,23,-4000,-170,-2061,4000
1,204,179,75,50,-4000,-698,-1950,4000
1,235,168,31,-5,-4000,-1095,-1728,4000
1,263,136,28,41,-4000,-1420,-1641,4000
1,186,121,446,-23,-4000,-1715,-1397,4000
1,234,122,2087,-13,-4000,-1961,-745,4000
1,460,120,2917,53,-4000,-2024,380,4000
1,263,75,1314,-1,-4000,-1800,824,4000
1,334,89,41,-159,-4000,-1682,685,4000
1,649,60,-616,-288,-4000,-1648,795,4000
1,711,57,-1251,-328,-2134,-1587,1461,4000
1,501,48,-1427,-255,2255,-1460,2358,4000
1,442,40,-1286,-130,4000,-1229,2444,4000
1,458,69,-1041,-85,4000,-1200,1864,4000
1,-132,38,-976,-114,4000,-1490,1214,4000
1,-598,-5,-761,-39,4000,-1900,367,4000
1,-474,-41,-513,120,4000,-2351,-1302,4000
1,-533,-107,-444,238,4000,-2934,-3326,4000
1,-641,-172,-642,394,4000,-3524,-4000,4000
1,-396,-155,-693,415,4000,-4000,-4000,4000
1,-240,-150,-649,329,4000,-4000,-4000,3845
1,-94,-98,-517,280,4000,-4000,-4000,3226
1,-114,-49,-315,209,4000,-4000,-3977,2704
1,-147,25,-129,187,4000,-4000,-3455,2160
1,8,77,128,92,4000,-4000,-2612,1704
1,20,54,3,47,4000,-4000,-1885,1293
1,1,87,55,77,4000,-4000,-2270,941
1,-23,103,205,-11,4000,-4000,-3119,621
1,70,80,211,-124,4000,-4000,-2966,239
1,-17,-33,434,-202,4000,-4000,-1576,-79
1,-154,-92,266,-336,4000,-4000,-157,-327
1,-126,-80,-156,-517,4000,-4000,532,-500
1,28,-101,-80,-435,4000,-3911,380,-687
1,594,-155,400,-210,4000,-3244,-355,-870
1,1147,-161,579,-148,4000,-2250,-1260,-1059
1,1319,-67,841,-96,4000,-1330,-2082,-1274
1,1018,-19,882,6,4000,-1050,-2735,-1534
1,908,-8,724,95,4000,-722,-2508,-1921
1,1081,-46,710,142,4000,274,-1200,-2217
1,240,-73,761,197,4000,1722,181,-2409
1,-521,7,686,218,4000,2940,1092,-2509
1,-547,87,103,307,4000,4000,1314,-2536
1,-1025,95,-320,422,4000,4000,1084,-2543
1,-940,172,-564,455,4000,4000,640,-2575
1,-700,262,-572,496,4000,4000,455,-2543
1,-738,233,-491,358,4000,4000,1164,-2377
1,-801,146,-276,24,4000,4000,2429,-2302
1,-1031,93,-5,-224,4000,4000,3475,-2230
1,-760,146,171,-365,4000,4000,4000,-2187
1,-407,168,533,-373,4000,4000,4000,-2187
1,-99,127,801,-466,4000,4000,4000,-2140
1,147,82,148,-505,4000,4000,3429,-2104
1,522,54,-674,-193,1704,4000,2635,-2140
1,668,37,-906,59,-1518,4000,2031,-2206
1,465,-46,-1321,431,-1506,4000,1540,-2254
1,563,-211,-810,681,-746,4000,1467,-2181
1,498,-242,-110,533,-94,4000,1599,-2063
1,52,-208,364,248,3945,4000,1538,-1921
1,90,-80,451,-98,4000,3611,1190,-1837
1,674,-25,686,-303,2060,3296,824,-1662
1,399,15,793,-515,-2057,3212,555,-1497
1,-512,-5,830,-652,-3612,3166,521,-1363
1,-584,-24,557,-719,-2277,3849,391,-1298
1,-485,22,644,-676,-4000,4000,-24,-1274
1,-109,127,2005,-523,-4000,4000,-420,-1270
1,-250,130,2225,-171,-4000,3617,-1641,-1208
1,-306,126,-490,-265,-4000,3283,-2210,-1186
1,439,63,-2204,-397,-4000,3199,-2502,-1204
1,824,34,-825,-51,-4000,2377,-1903,-1083
1,-34,-19,-389,-47,-4000,2188,-1588,-875
1,-828,-20,-620,-59,-4000,1982,-1093,-708
1,342,-203,-568,533,-4000,-240,-483,448
1,-124,-34,1161,329,-4000,-2439,1845,947
1,-1147,-218,-173,-149,-4000,-4000,4000,265
1,465,-94,-711,-224,-4000,-4000,4000,134
1,538,8,-2578,240,4000,-4000,4000,-673
1,-105,26,-2398,179,4000,-3895,4000,-753
1,-571,239,-1779,63,4000,-3244,4000,-846
1,-759,294,-566,-48,4000,-2626,4000,-948
1,-1204,301,-570,-163,4000,-1848,4000,-1039
1,-1294,400,119,-324,4000,-936,4000,-1168
1,-807,408,295,-558,4000,38,4000,-1321
1,1156,39,1347,-757,4000,1929,1996,-914
1,1238,-179,1900,-511,4000,2056,1670,-726
1,711,-207,1328,-366,4000,1970,-724,-427
1,510,-215,410,-160,4000,1677,-4000,-223
1,342,-207,170,-141,4000,1474,-4000,43
1,262,-82,663,-312,4000,1277,-4000,369
1,104,-140,1757,-456,4000,1092,-4000,609
1,113,-101,2729,-456,4000,986,-4000,876
1,199,-126,2486,-373,4000,693,-4000,1049
1,-53,-50,1247,-223,4000,293,-4000,1216
1,-221,64,-5,-202,4000,-14,-4000,1392
1,-461,1,-1126,-237,4000,-53,-4000,1476
1,-319,58,-2239,-171,4000,49,-4000,1533
1,35,207,-2415,0,4000,-158,-4000,1525
1,436,354,-2475,191,4000,-773,-4000,1443
1,759,212,-2253,272,4000,-1330,-4000,1281
1,855,44,-948,309,4000,-1546,-4000,1047
1,908,-67,-98,272,4000,-1701,-4000,621
1,784,-159,-401,290,4000,-1656,-4000,147
1,668,-178,-409,317,4000,-1574,-4000,-281
1,540,-356,85,323,-372,-1737,-4000,-573
1,431,-448,-342,195,-4000,-1701,-4000,-817
1,182,-598,-190,-11,-4000,-1310,-4000,-1078
1,-99,-582,410,19,-4000,-758,-4000,-1315
1,-155,-188,838,194,-4000,-285,-4000,-1642
1,-351,-28,1182,303,-4000,250,-4000,-1860
1,-521,-179,1509,292,-4000,544,-4000,-1884
1,-476,-181,1704,282,-4000,669,-4000,-1723
1,-440,-80,1283,146,-4000,896,-4000,-1270
1,-333,-5,1387,169,-4000,966,-4000,-778
1,-237,-35,1249,394,-4000,966,-4000,-280
1,-221,-57,736,513,-4000,980,-2615,330
1,-190,-54,-212,655,-4000,1118,-832,938
1,-158,26,-782,687,-4000,1417,-1136,1411
1,-113,201,-419,642,-4000,1734,-2402,1915
1,-191,213,-380,533,-4000,1799,-3273,2498
1,-236,191,-434,410,-4000,1909,-2792,3079
1,-205,117,-739,345,-4000,2182,-1337,3548
1,-258,53,-1016,243,-4000,2230,1418,3747
1,-193,-42,-1036,85,-4000,2159,4000,3831
1,-155,-168,-1138,-59,-1731,2115,4000,3291
1,-132,-188,-1492,-92,4000,1964,4000,1989
1,-119,-122,-1367,-85,4000,1787,4000,727
1,-124,18,-871,-5,4000,1663,4000,-579
1,-42,74,-462,0,4000,1547,1996,-2084
1,-64,152,132,14,4000,1720,482,-3534
1,-77,147,272,118,4000,2188,702,-4000
1,-51,78,541,195,4000,2556,1723,-4000
1,-36,103,988,215,4000,2644,3838,-4000
1,-29,74,1224,150,4000,3212,4000,-4000
1,-23,86,714,115,4000,3621,1136,-4000
1,11,108,364,54,4000,2775,-941,-4000
1,-13,78,306,73,4000,1915,-1944,-4000
1,-40,78,93,18,4000,693,-4000,-2150
1,-20,81,80,-51,4000,-564,-4000,1785
1,-18,97,-133,-9,4000,469,-4000,4000
1,-25,121,55,-82,4000,1777,-4000,4000
1,-17,84,-188,-91,4000,1466,-4000,4000
1,-16,48,-139,-92,4000,35,-4000,4000
1,-50,10,-46,-121,4000,-3524,-4000,4000
1,-70,-39,-376,-69,4000,-4000,-3192,4000
1,-68,-64,-350,-57,4000,-2311,-2640,4000
1,-58,-96,-401,-71,4000,441,-3013,4000
1,-16,-63,-102,-79,4000,97,-3648,4000
1,1,18,-90,-111,4000,-550,-3338,4000
1,13,93,-121,-170,3102,-1735,-2804,4000
1,5,205,30,-167,1734,-2400,-2097,4000
1,25,247,43,-167,367,-3376,815,4000
1,43,288,280,-185,-1052,-3048,4000,4000
1,36,607,345,-182,-2194,-940,4000,4000
1,-106,477,259,-215,-4000,-745,4000,-4000
1,-149,106,-128,-178,-3689,-1487,4000,-4000
1,-96,-430,-188,-80,-2318,-802,4000,-4000
1,161,-598,929,52,4000,3461,4000,-4000
1,155,111,642,43,4000,3556,4000,-4000
1,71,376,269,-6,4000,3491,4000,-4000
1,52,512,89,-63,4000,3409,4000,-4000
1,0,477,-210,-40,4000,3995,4000,-4000
1,-12,467,-201,27,4000,4000,4000,-4000
1,-27,355,-247,61,4000,3212,4000,-4000
1,-142,-55,-129,22,2971,1466,4000,-2259
1,-140,-206,-79,12,-395,-252,4000,1270
1,-113,-310,-54,-33,-3852,-331,4000,4000
1,-128,-591,-66,-76,-4000,747,4000,4000
1,-126,-371,-104,-166,-4000,-154,4000,4000
1,-61,56,-143,-196,-734,-1495,4000,4000
1,16,269,-92,-119,4000,-3504,3086,4000
1,110,477,-121,-34,4000,-4000,989,4000
1,277,485,-64,-119,4000,2840,-802,4000
1,113,179,-125,-123,4000,2881,-513,4000
1,-49,13,-236,-136,4000,1964,-521,4000
1,-116,29,-28,-110,4000,2227,-309,4000
1,-104,130,312,-113,4000,2100,-373,4000
1,-60,158,288,-111,4000,221,-484,4000
1,-67,81,-53,-133,4000,-2141,-813,3467
1,-85,-22,-201,-141,4000,-4000,-651,3226
1,-111,-50,-336,-83,4000,-4000,-917,3096
1,-155,-142,-263,8,4000,-4000,-2288,1897
1,-85,-41,-173,46,4000,-4000,-3407,-70
1,-100,193,-128,10,4000,-4000,-3993,-1018
1,-120,273,-64,-33,4000,-4000,-4000,-1824
1,-85,314,8,-45,4000,-4000,-4000,-3329
1,-80,217,152,-80,3285,-4000,-4000,-4000
1,-23,41,334,-90,3660,-4000,-4000,-4000
1,-63,-173,689,-105,3293,-4000,-4000,-3984
1,-123,-383,598,-115,3397,-3767,-4000,-3712
1,-122,-545,149,-101,-746,-2965,-4000,-4000
1,-195,-609,20,-47,-4000,-252,-4000,-2230
1,-201,-361,439,10,-4000,214,-4000,-1013
1,-163,-75,714,-1,-4000,961,-4000,3
1,-67,179,1053,-18,-4000,1799,-4000,1533
1,47,317,1062,-32,-4000,2500,-4000,3470
1,74,279,372,-72,-4000,2515,-4000,4000
1,117,228,55,-129,-4000,1994,-4000,4000
1,82,152,-418,-79,-4000,1474,-4000,4000
1,64,77,-896,-37,-4000,1567,-4000,4000
1,52,4,-1072,23,-4000,2515,-4000,4000
1,21,-29,-896,48,-4000,3947,-4000,4000
1,21,-53,-257,41,-4000,4000,-4000,4000
1,12,-86,110,15,-4000,4000,-4000,4000
1,16,-91,1566,-11,-4000,3670,-4000,4000
1,9,-78,2792,-22,-4000,2162,-4000,4000
1,37,-26,1891,-2,-4000,1026,-4000,3845
1,65,-14,914,65,-4000,241,-4000,3487
1,88,4,-629,111,-4000,-576,-4000,3014
1,90,-31,-1872,181,-4000,-1546,-4000,2640
1,118,-21,-2373,161,-4000,-1961,-4000,2548
1,122,-57,-2851,91,-4000,309,-4000,1859
1,68,5,-2399,93,-4000,298,-3230,1606
1,-36,168,-1732,36,-4000,534,-2095,1434
1,-74,355,-922,48,-3791,681,-986,1272
1,-60,449,-269,71,-2638,283,-393,1374
1,-45,359,801,22,-1945,-875,-195,1325
1,-77,290,1759,74,-928,-2054,-53,1085
1,-143,282,1741,100,-147,-2141,-679,947
1,-36,294,742,36,725,-1075,-2637,800
1,72,160,304,30,1537,-327,-4000,395
1,131,-48,49,-15,1900,-419,-4000,-194
1,142,-211,-579,-84,2443,-1034,-3790,-492
1,86,-326,-894,-135,1836,-1835,-2308,-540
1,48,-278,-1166,-179,248,-2465,-946,-696
1,-23,-280,-996,-195,-136,-2575,32,-622
1,-13,-272,-649,-115,407,-2392,639,-122
1,-10,-220,207,-45,794,-2026,1288,-133
1,-1,-183,830,-37,2516,-1444,1906,120
1,14,-154,1379,46,4000,-932,1931,671
1,13,-112,1744,53,4000,-348,2843,846
1,21,-74,1835,20,4000,311,4000,63
1,25,-63,1999,74,4000,929,4000,-2906
1,43,-24,1940,115,4000,1449,4000,-4000
1,21,8,2461,111,4000,2243,4000,-4000
1,-6,-4,451,64,4000,2355,4000,-4000
1,9,34,-1258,30,4000,2450,4000,-4000
1,7,40,-2346,-25,4000,2503,4000,-4000
1,4,67,-2085,-33,4000,2515,4000,-3386
1,-10,108,-1036,-97,4000,2490,4000,-3864
1,-26,109,280,-160,4000,2385,4000,-4000
1,-27,82,8,-116,4000,2320,1013,-4000
1,-16,86,-174,-43,4000,2255,-4000,-4000
1,27,91,-514,-43,4000,2060,-4000,-4000
1,46,69,-816,-97,4000,1771,-4000,-4000
1,37,26,-898,-46,4000,1409,-4000,-2295
1,54,12,-1277,51,4000,1120,-2754,-1831
1,39,32,-1252,131,4000,817,2037,-1387
1,64,25,-1348,144,4000,571,4000,-948
1,51,59,-1227,142,4000,343,4000,-805
1,36,115,-1191,120,4000,61,4000,-732
1,21,158,-1020,53,4000,-238,4000,-976
1,-39,158,-906,-49,4000,-575,4000,-733
1,-62,152,-625,-153,4000,-826,2698,-460
1,-110,147,-204,-163,4000,-1070,-1063,-31
